iter	Passed	Remaining
0	139	139307
1	140	69962
2	140	46845
3	142	35547
4	143	28560
5	144	23928
6	145	20591
7	145	18078
8	146	16132
9	147	14568
10	147	13284
11	148	12216
12	148	11311
13	149	10537
14	150	9869
15	150	9281
16	151	8764
17	152	8302
18	152	7896
19	154	7549
20	155	7241
21	156	6940
22	157	6694
23	158	6449
24	159	6214
25	159	5993
26	160	5791
27	161	5604
28	162	5429
29	162	5263
30	163	5110
31	164	4964
32	164	4827
33	165	4701
34	166	4580
35	166	4465
36	167	4361
37	168	4260
38	169	4166
39	169	4074
40	170	3987
41	171	3905
42	171	3824
43	173	3760
44	173	3689
45	174	3623
46	175	3561
47	176	3499
48	177	3438
49	177	3378
50	178	3321
51	179	3265
52	179	3210
53	180	3159
54	181	3111
55	181	3065
56	182	3019
57	183	2975
58	183	2932
59	184	2890
60	185	2850
61	185	2811
62	186	2775
63	187	2739
64	188	2710
65	189	2679
66	190	2646
67	190	2613
68	191	2583
69	192	2553
70	192	2524
71	193	2496
72	194	2469
73	195	2441
74	195	2414
75	196	2389
76	197	2363
77	197	2338
78	198	2315
79	199	2291
80	199	2268
81	200	2245
82	200	2219
83	201	2198
84	202	2179
85	203	2161
86	204	2144
87	204	2124
88	205	2105
89	206	2089
90	207	2073
91	208	2058
92	209	2043
93	210	2027
94	211	2012
95	211	1996
96	212	1982
97	214	1969
98	214	1955
99	215	1941
100	216	1928
101	217	1912
102	218	1901
103	219	1889
104	220	1876
105	220	1862
106	221	1849
107	222	1836
108	223	1823
109	223	1810
110	224	1797
111	225	1785
112	225	1772
113	226	1760
114	227	1749
115	228	1737
116	228	1724
117	229	1713
118	229	1701
119	230	1690
120	231	1680
121	231	1668
122	232	1657
123	233	1649
124	234	1641
125	235	1631
126	235	1621
127	236	1611
128	237	1601
129	237	1592
130	238	1582
131	239	1573
132	239	1564
133	240	1555
134	241	1546
135	242	1537
136	242	1529
137	243	1520
138	244	1512
139	244	1504
140	245	1496
141	246	1486
142	246	1478
143	247	1470
144	248	1462
145	249	1458
146	250	1452
147	251	1445
148	251	1438
149	252	1431
150	253	1424
151	254	1417
152	255	1412
153	256	1407
154	257	1401
155	258	1396
156	258	1390
157	259	1385
158	260	1380
159	261	1375
160	262	1368
161	263	1363
162	264	1360
163	265	1355
164	267	1351
165	268	1347
166	269	1342
167	270	1337
168	270	1331
169	271	1325
170	272	1320
171	273	1316
172	274	1312
173	275	1307
174	276	1303
175	277	1298
176	278	1293
177	279	1289
178	280	1286
179	281	1281
180	282	1277
181	283	1273
182	284	1269
183	285	1265
184	286	1261
185	287	1256
186	288	1252
187	289	1248
188	290	1244
189	290	1240
190	291	1236
191	292	1232
192	294	1229
193	295	1226
194	296	1222
195	297	1219
196	298	1215
197	299	1211
198	300	1207
199	300	1203
200	301	1199
201	302	1195
202	303	1191
203	304	1187
204	305	1184
205	306	1180
206	307	1176
207	308	1173
208	309	1169
209	309	1165
210	311	1163
211	311	1159
212	312	1155
213	313	1152
214	314	1148
215	315	1145
216	316	1141
217	317	1138
218	318	1134
219	318	1130
220	319	1127
221	320	1124
222	321	1121
223	322	1117
224	323	1114
225	324	1112
226	325	1109
227	326	1106
228	327	1103
229	328	1100
230	329	1097
231	330	1094
232	331	1091
233	332	1088
234	333	1085
235	334	1082
236	335	1079
237	336	1076
238	337	1073
239	338	1070
240	338	1067
241	340	1065
242	341	1062
243	342	1060
244	343	1057
245	344	1054
246	345	1051
247	345	1048
248	346	1046
249	347	1043
250	348	1040
251	349	1037
252	350	1034
253	351	1031
254	352	1029
255	353	1026
256	354	1023
257	355	1022
258	356	1019
259	357	1017
260	358	1014
261	359	1011
262	360	1008
263	360	1005
264	361	1002
265	362	999
266	362	996
267	363	993
268	364	990
269	365	987
270	365	983
271	366	980
272	367	977
273	367	974
274	368	971
275	369	968
276	370	966
277	371	964
278	372	962
279	373	959
280	373	956
281	374	953
282	375	950
283	375	947
284	376	944
285	377	942
286	378	939
287	378	936
288	379	933
289	380	930
290	380	927
291	381	924
292	382	922
293	382	919
294	383	916
295	384	913
296	385	911
297	386	909
298	387	907
299	387	905
300	388	902
301	389	899
302	390	897
303	390	894
304	391	892
305	392	889
306	392	886
307	393	884
308	394	881
309	395	879
310	395	877
311	396	874
312	397	872
313	398	870
314	399	868
315	399	865
316	400	863
317	401	862
318	402	860
319	403	858
320	404	856
321	405	854
322	406	852
323	407	850
324	408	848
325	409	846
326	409	843
327	410	841
328	411	839
329	412	836
330	412	834
331	413	832
332	414	829
333	415	827
334	416	826
335	416	823
336	417	821
337	418	819
338	419	817
339	419	814
340	420	812
341	421	810
342	421	807
343	422	805
344	423	803
345	423	801
346	424	798
347	425	796
348	425	794
349	426	792
350	427	790
351	428	788
352	428	785
353	429	783
354	430	781
355	431	780
356	431	778
357	432	775
358	433	773
359	434	771
360	434	769
361	435	767
362	436	765
363	437	763
364	437	761
365	438	759
366	439	758
367	440	756
368	441	754
369	441	752
370	442	750
371	443	748
372	444	747
373	445	745
374	446	743
375	447	742
376	448	740
377	448	738
378	449	736
379	450	734
380	451	733
381	451	731
382	452	729
383	453	727
384	454	725
385	455	724
386	456	722
387	456	720
388	457	718
389	458	716
390	459	715
391	460	713
392	460	712
393	461	710
394	462	708
395	463	707
396	464	705
397	465	703
398	466	701
399	466	700
400	467	698
401	468	696
402	469	694
403	469	693
404	470	691
405	471	689
406	472	688
407	472	686
408	473	684
409	474	682
410	475	681
411	476	679
412	477	678
413	477	676
414	478	674
415	479	673
416	480	671
417	480	669
418	481	667
419	482	666
420	483	664
421	483	662
422	484	661
423	485	659
424	486	657
425	486	655
426	487	654
427	488	652
428	488	650
429	489	649
430	490	647
431	491	645
432	491	643
433	492	642
434	493	640
435	493	638
436	494	637
437	495	635
438	496	634
439	496	632
440	497	630
441	498	629
442	499	627
443	500	626
444	500	624
445	501	623
446	502	621
447	503	620
448	503	618
449	504	616
450	505	615
451	505	613
452	506	611
453	507	610
454	508	608
455	508	607
456	509	605
457	510	604
458	511	602
459	511	600
460	512	599
461	513	597
462	513	596
463	514	594
464	515	592
465	516	591
466	516	589
467	517	588
468	518	586
469	519	585
470	519	583
471	520	582
472	521	580
473	522	579
474	522	577
475	523	576
476	524	575
477	525	573
478	526	572
479	527	571
480	528	570
481	529	569
482	530	567
483	531	567
484	533	566
485	534	565
486	535	564
487	536	563
488	538	562
489	538	560
490	540	559
491	541	558
492	542	558
493	544	557
494	545	556
495	546	555
496	547	554
497	548	552
498	549	551
499	550	550
500	551	549
501	552	548
502	553	547
503	554	545
504	555	544
505	556	543
506	558	542
507	558	541
508	559	540
509	561	539
510	561	537
511	562	536
512	563	535
513	564	533
514	565	532
515	566	531
516	567	530
517	568	529
518	569	527
519	570	526
520	571	525
521	572	524
522	573	523
523	574	521
524	575	520
525	576	519
526	577	518
527	578	517
528	579	515
529	580	514
530	581	513
531	581	511
532	582	510
533	583	509
534	584	507
535	585	506
536	586	505
537	586	503
538	587	502
539	588	501
540	589	499
541	590	498
542	590	497
543	591	495
544	592	494
545	593	493
546	594	492
547	594	490
548	595	489
549	596	488
550	597	487
551	598	485
552	599	484
553	600	483
554	601	482
555	602	481
556	603	479
557	604	478
558	605	477
559	606	476
560	607	475
561	608	474
562	609	472
563	610	471
564	610	470
565	612	469
566	613	468
567	614	467
568	615	466
569	616	465
570	617	463
571	618	462
572	619	461
573	620	460
574	621	459
575	622	458
576	623	457
577	624	455
578	625	454
579	626	453
580	627	452
581	628	451
582	630	450
583	631	449
584	632	448
585	633	447
586	634	446
587	636	445
588	637	444
589	639	444
590	640	443
591	641	442
592	643	441
593	644	440
594	646	439
595	647	438
596	649	438
597	650	437
598	651	436
599	653	435
600	654	434
601	656	433
602	657	432
603	659	432
604	660	431
605	661	430
606	662	429
607	664	428
608	665	427
609	666	426
610	667	425
611	669	424
612	670	423
613	671	422
614	672	421
615	674	420
616	676	419
617	677	418
618	678	417
619	680	417
620	682	416
621	683	415
622	685	414
623	686	413
624	687	412
625	689	412
626	691	411
627	693	410
628	694	409
629	696	408
630	697	408
631	699	407
632	700	406
633	702	405
634	704	404
635	705	404
636	707	403
637	709	402
638	710	401
639	711	400
640	713	399
641	714	398
642	715	397
643	716	396
644	717	395
645	719	394
646	720	393
647	722	392
648	723	391
649	725	390
650	726	389
651	727	388
652	729	387
653	730	386
654	731	385
655	732	384
656	734	383
657	735	382
658	737	381
659	739	380
660	740	379
661	742	378
662	743	377
663	745	377
664	746	376
665	747	374
666	749	374
667	750	373
668	751	371
669	752	370
670	753	369
671	754	368
672	756	367
673	757	366
674	759	365
675	760	364
676	761	363
677	762	362
678	763	360
679	764	359
680	765	358
681	767	357
682	768	356
683	770	355
684	771	354
685	772	353
686	772	352
687	773	350
688	774	349
689	776	348
690	777	347
691	778	346
692	780	345
693	781	344
694	782	343
695	783	342
696	784	341
697	786	340
698	787	339
699	788	337
700	789	336
701	790	335
702	791	334
703	792	333
704	793	332
705	795	331
706	796	330
707	797	329
708	799	328
709	800	326
710	801	325
711	803	324
712	804	323
713	805	322
714	806	321
715	807	320
716	808	319
717	809	317
718	810	316
719	811	315
720	812	314
721	813	313
722	815	312
723	816	311
724	817	310
725	819	309
726	819	307
727	821	306
728	822	305
729	823	304
730	825	303
731	827	302
732	829	302
733	831	301
734	833	300
735	834	299
736	836	298
737	837	297
738	839	296
739	840	295
740	842	294
741	843	293
742	845	292
743	846	291
744	847	289
745	848	288
746	849	287
747	850	286
748	852	285
749	853	284
750	854	283
751	855	282
752	857	281
753	857	279
754	858	278
755	859	277
756	861	276
757	862	275
758	864	274
759	865	273
760	866	272
761	866	270
762	868	269
763	869	268
764	871	267
765	872	266
766	874	265
767	875	264
768	876	263
769	878	262
770	879	261
771	881	260
772	882	259
773	884	258
774	886	257
775	887	256
776	889	255
777	890	254
778	891	252
779	892	251
780	893	250
781	895	249
782	896	248
783	897	247
784	898	246
785	900	245
786	901	244
787	903	243
788	905	242
789	906	240
790	908	239
791	909	238
792	910	237
793	912	236
794	913	235
795	915	234
796	916	233
797	918	232
798	919	231
799	921	230
800	922	229
801	923	228
802	925	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	932	220
809	934	219
810	935	218
811	936	216
812	937	215
813	938	214
814	939	213
815	940	212
816	942	211
817	943	209
818	945	208
819	946	207
820	947	206
821	949	205
822	949	204
823	951	203
824	952	202
825	953	200
